,Марка,Размер,Цвят,Материя,Цена,link
0,Boohoo,"XS, S", Син, Полиестер,"30,02 лв.",https://remixshop.com/bg/womens-clothes-dresses-boohoo-pr19189878.html
1,Desigual,"S, M...", Червен, Полиестер,"39,75 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19212034.html
2,Desigual,"XS, S...", Червен," 95% вискоза, 5% еластан","45,63 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19120509.html
3,Maya Deluxe,S, Син, Полиестер,"66,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-maya-deluxe-pr18982064.html
4,Comptoir Des Cotonniers,S, Син, Вискоза,"180,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-comptoir-des-cotonniers-pr18987228.html
5,Bruuns Bazaar,S, Черен, Вискоза,"53,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-bruuns-bazaar-pr18915086.html
6,ASOS,S, Многоцветен," 95% полиестер, 5% еластан","44,10 лв.",https://remixshop.com/bg/womens-clothes-dresses-asos-pr19061136.html
7,Louche,"XS, S...", Екрю, Памук,"51,35 лв.",https://remixshop.com/bg/womens-clothes-dresses-louche-pr19334906.html
8,Missguided,S, Черен," 95% полиестер, 5% еластан","19,47 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18512118.html
9,Weekend Max Mara,S, Многоцветен, Памук,"519,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-weekend-max-mara-pr19373635.html
10,Desigual,"XS, S", Черен," 84% полиестер, 15% памук, 1% еластан","40,23 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19176199.html
11,Miss Sixty,S, Розов, Коприна,"229,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-miss-sixty-pr19109892.html
12,Boohoo,"XS, S...", Многоцветен," 95% полиестер, 5% еластан","22,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-boohoo-pr19189985.html
13,Рокля,S, Лилав,,"27,06 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr18810567.html
14,Gina Tricot,S, Бял, Памук,"56,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-gina-tricot-pr19176579.html
15,Tom Tailor,S, Син,,"35,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-tom-tailor-pr19200999.html
16,Scotch & Soda,S, Син, Памук,"64,50 лв.",https://remixshop.com/bg/womens-clothes-dresses-scotch--and--soda-pr19377196.html
17,ONLY,S, Зелен," 97% полиестер, 3% еластан","25,20 лв.",https://remixshop.com/bg/womens-clothes-dresses-only-pr18874510.html
18,Zara,S, Черен, Полиестер,"14,76 лв.",https://remixshop.com/bg/womens-clothes-dresses-zara-pr18299367.html
19,Club L,S, Зелен," 95% полиестер, 5% еластан","23,12 лв.",https://remixshop.com/bg/womens-clothes-dresses-club-l-pr17832017.html
20,Kangaroos,S, Многоцветен," 95% памук, 5% еластан","31,05 лв.",https://remixshop.com/bg/womens-clothes-dresses-kangaroos-pr18944547.html
21,Vero Moda,S, Многоцветен, Полиестер,"26,07 лв.",https://remixshop.com/bg/womens-clothes-dresses-vero-moda-pr18645002.html
22,Stylove,"S, L", Син," 65% полиестер, 30% вискоза, 5% еластан","22,77 лв.",https://remixshop.com/bg/womens-clothes-dresses-stylove-pr18397398.html
23,Petal+Pup,S, Розов, Памук,"44,10 лв.",https://remixshop.com/bg/womens-clothes-dresses-petal%252Bpup-pr19162549.html
24,Missguided,S, Бял,,"14,88 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18728847.html
25,Maya Deluxe,S, Син, Полиестер,"169,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-maya-deluxe-pr19369312.html
26,Noisy May,S, Зелен, 100% лиосел,"14,75 лв.",https://remixshop.com/bg/womens-clothes-dresses-noisy-may-pr17826574.html
27,Missguided,S, Червен,,"14,52 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18512210.html
28,Hope & Ivy,S, Бежов, Полиестер,"50,84 лв.",https://remixshop.com/bg/womens-clothes-dresses-hope--and--ivy-pr19136815.html
29,Six Ames,S, Бежов, Еко кожа,"179,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-six-ames-pr19370384.html
30,Boohoo,"XS, S", Син, Полиестер,"30,02 лв.",https://remixshop.com/bg/womens-clothes-dresses-boohoo-pr19189878.html
31,Desigual,"S, M...", Червен, Полиестер,"39,75 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19212034.html
32,Desigual,"XS, S...", Червен," 95% вискоза, 5% еластан","45,63 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19120509.html
33,Maya Deluxe,S, Син, Полиестер,"66,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-maya-deluxe-pr18982064.html
34,Comptoir Des Cotonniers,S, Син, Вискоза,"180,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-comptoir-des-cotonniers-pr18987228.html
35,Bruuns Bazaar,S, Черен, Вискоза,"53,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-bruuns-bazaar-pr18915086.html
36,ASOS,S, Многоцветен," 95% полиестер, 5% еластан","44,10 лв.",https://remixshop.com/bg/womens-clothes-dresses-asos-pr19061136.html
37,Louche,"XS, S...", Екрю, Памук,"51,35 лв.",https://remixshop.com/bg/womens-clothes-dresses-louche-pr19334906.html
38,Missguided,S, Черен," 95% полиестер, 5% еластан","19,47 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18512118.html
39,Weekend Max Mara,S, Многоцветен, Памук,"519,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-weekend-max-mara-pr19373635.html
40,Desigual,"XS, S", Черен," 84% полиестер, 15% памук, 1% еластан","40,23 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19176199.html
41,Miss Sixty,S, Розов, Коприна,"229,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-miss-sixty-pr19109892.html
42,Boohoo,"XS, S...", Многоцветен," 95% полиестер, 5% еластан","22,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-boohoo-pr19189985.html
43,Рокля,S, Лилав,,"27,06 лв.",https://remixshop.com/bg/womens-clothes-dresses-pr18810567.html
44,Gina Tricot,S, Бял, Памук,"56,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-gina-tricot-pr19176579.html
45,Tom Tailor,S, Син,,"35,60 лв.",https://remixshop.com/bg/womens-clothes-dresses-tom-tailor-pr19200999.html
46,Scotch & Soda,S, Син, Памук,"64,50 лв.",https://remixshop.com/bg/womens-clothes-dresses-scotch--and--soda-pr19377196.html
47,ONLY,S, Зелен," 97% полиестер, 3% еластан","25,20 лв.",https://remixshop.com/bg/womens-clothes-dresses-only-pr18874510.html
48,Zara,S, Черен, Полиестер,"14,76 лв.",https://remixshop.com/bg/womens-clothes-dresses-zara-pr18299367.html
49,Club L,S, Зелен," 95% полиестер, 5% еластан","23,12 лв.",https://remixshop.com/bg/womens-clothes-dresses-club-l-pr17832017.html
50,Kangaroos,S, Многоцветен," 95% памук, 5% еластан","31,05 лв.",https://remixshop.com/bg/womens-clothes-dresses-kangaroos-pr18944547.html
51,Vero Moda,S, Многоцветен, Полиестер,"26,07 лв.",https://remixshop.com/bg/womens-clothes-dresses-vero-moda-pr18645002.html
52,Stylove,"S, L", Син," 65% полиестер, 30% вискоза, 5% еластан","22,77 лв.",https://remixshop.com/bg/womens-clothes-dresses-stylove-pr18397398.html
53,Petal+Pup,S, Розов, Памук,"44,10 лв.",https://remixshop.com/bg/womens-clothes-dresses-petal%252Bpup-pr19162549.html
54,Missguided,S, Бял,,"14,88 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18728847.html
55,Maya Deluxe,S, Син, Полиестер,"169,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-maya-deluxe-pr19369312.html
56,Noisy May,S, Зелен, 100% лиосел,"14,75 лв.",https://remixshop.com/bg/womens-clothes-dresses-noisy-may-pr17826574.html
57,Missguided,S, Червен,,"14,52 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18512210.html
58,Hope & Ivy,S, Бежов, Полиестер,"50,84 лв.",https://remixshop.com/bg/womens-clothes-dresses-hope--and--ivy-pr19136815.html
59,Six Ames,S, Бежов, Еко кожа,"179,00 лв.",https://remixshop.com/bg/womens-clothes-dresses-six-ames-pr19370384.html
60,Boohoo,S, Многоцветен, 100% вискоза,"14,52 лв.",https://remixshop.com/bg/womens-clothes-dresses-boohoo-pr18609309.html
61,H&M,S, Син, Вискоза,"46,20 лв.",https://remixshop.com/bg/womens-clothes-dresses-h-and-m-pr19139230.html
62,Tfnc London,S, Розов, Полиестер,"20,64 лв.",https://remixshop.com/bg/womens-clothes-dresses-tfnc-london-pr18407638.html
63,Desigual,S, Сив, Памук,"45,22 лв.",https://remixshop.com/bg/womens-clothes-dresses-desigual-pr19116800.html
64,Mascara,S, Син, Полиестер,"67,25 лв.",https://remixshop.com/bg/womens-clothes-dresses-mascara-pr19095195.html
65,Mbym,"XS, S", Черен, Полиестер,"89,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-mbym-pr19334399.html
66,Zara,S, Многоцветен, Полиестер,"39,90 лв.",https://remixshop.com/bg/womens-clothes-dresses-zara-pr19262416.html
67,Mango,S, Сив, Полиестер,"35,70 лв.",https://remixshop.com/bg/womens-clothes-dresses-mango-pr19182293.html
68,Moe,S, Сив," 88% памук, 12% полиестер","22,77 лв.",https://remixshop.com/bg/womens-clothes-dresses-moe-pr18955060.html
69,Missguided,S, Жълт," 95% полиестер, 5% еластан","17,02 лв.",https://remixshop.com/bg/womens-clothes-dresses-missguided-pr18498686.html
70,Please,S, Черен," 97% памук, 3% еластан","19,58 лв.",https://remixshop.com/bg/womens-clothes-dresses-please-pr18479286.html
71,S,НАЧАЛНА ЦЕНА, Многоцветен, Полиестер,ДОБАВЕТЕ,https://remixshop.com/bg/womens-clothes-dresses-tahari-by-arthur-s.-levine-pr19375006.html
72,Pull&Bear,S, Зелен,,"28,35 лв.",https://remixshop.com/bg/womens-clothes-dresses-pull-and-bear-pr19157866.html
73,Orsay,S, Розов," 80% памук, 20% полиамид","29,40 лв.",https://remixshop.com/bg/womens-clothes-dresses-orsay-pr19074050.html
74,Glamorous,S, Син, Полиестер,"27,06 лв.",https://remixshop.com/bg/womens-clothes-dresses-glamorous-pr19095528.html
75,Holzweiler,S, Червен, Вискоза,"30,42 лв.",https://remixshop.com/bg/womens-clothes-dresses-holzweiler-pr18861001.html
