,Марка,Размер,Цвят,Материя,Цена,link
0,Esprit,7-8y, Екрю,,"25,20 лв.",https://remixshop.com/bg/child-clothes-cardigans-esprit-pr18262264.html
1,Laurame,7-8y, Розов," 54% акрил, 46% полиамид","22,05 лв.",https://remixshop.com/bg/child-clothes-cardigans-laurame-pr18262260.html
2,The Children's Place,7-8y, Многоцветен," 65% акрил, 26% полиестер, 9% вълна","26,46 лв.",https://remixshop.com/bg/child-clothes-cardigans-the-children%2527s-place-pr18260855.html
3,Design By Kappahl,6-7y, Черен," 65% полиамид, 35% акрил","23,10 лв.",https://remixshop.com/bg/child-clothes-cardigans-design-by-kappahl-pr18254581.html
4,S.Oliver,8-9y, Черен, Памук,"16,63 лв.",https://remixshop.com/bg/child-clothes-cardigans-s.oliver-pr18253079.html
5,Inside,12-13y, Бял, Полиестер,"26,25 лв.",https://remixshop.com/bg/child-clothes-cardigans-inside-pr18245666.html
6,Zara,12-13y, Многоцветен,,"25,27 лв.",https://remixshop.com/bg/child-clothes-cardigans-zara-pr18242807.html
7,Miss Brum,13-14y, Сив," 35% вискоза, 30% полиамид, 25% модал, 10% еластан","22,05 лв.",https://remixshop.com/bg/child-clothes-cardigans-miss-brum-pr18242169.html
8,Mary Anne,10-11y, Бял, Памук,"18,90 лв.",https://remixshop.com/bg/child-clothes-cardigans-mary-anne-pr18241271.html
9,Stop+Go,8-9y, Син, Акрил,"22,05 лв.",https://remixshop.com/bg/child-clothes-cardigans-stop%252Bgo-pr18241113.html
10,H&M L.O.G.G.,8-9y, Многоцветен," 68% полиестер, 30% памук, 2% еластан","16,56 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-l.o.g.g.-pr18241108.html
11,Punkidz,9-10y, Бял,,"16,56 лв.",https://remixshop.com/bg/child-clothes-cardigans-punkidz-pr18240957.html
12,H&M,10-11y, Черен, Вискоза,"25,94 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18251239.html
13,Hema,12-13y, Син, Памук,"22,05 лв.",https://remixshop.com/bg/child-clothes-cardigans-hema-pr18246774.html
14,H&M,10-11y, Сив," 65% полиамид, 35% акрил","19,66 лв.",https://remixshop.com/bg/child-clothes-cardigans-h-and-m-pr18246597.html
15,Jbc,12-13y, Син, Полиестер,"4,62 лв.",https://remixshop.com/bg/child-clothes-cardigans-jbc-pr16560735.html
16,Du Pareil Au Meme,13-14y, Син,,"19,95 лв.",https://remixshop.com/bg/child-clothes-cardigans-du-pareil-au-meme-pr18238107.html
17,Yigga,12-13y, Сив," 34% полиакрил, 47% полиамид, 19% полиестер","18,40 лв.",https://remixshop.com/bg/child-clothes-cardigans-yigga-pr18236604.html
18,Zara Knitwear,9-10y, Син,,"23,94 лв.",https://remixshop.com/bg/child-clothes-cardigans-zara-knitwear-pr18236239.html
