,main_cat,cat,sub-cat,full_sub_cat_link
0,All,womens-clothes,sweatpants,https://remixshop.com/bg/womens-clothes/sweatpants
1,All,womens-clothes,swimwear,https://remixshop.com/bg/womens-clothes/swimwear
2,All,womens-clothes,underwear,https://remixshop.com/bg/womens-clothes/underwear
3,All,womens-clothes,tops,https://remixshop.com/bg/womens-clothes/tops
4,All,womens-clothes,boleros-and-ponchos,https://remixshop.com/bg/womens-clothes/boleros-and-ponchos
5,All,womens-clothes,jumpsuits,https://remixshop.com/bg/womens-clothes/jumpsuits
6,All,womens-clothes,jeans,https://remixshop.com/bg/womens-clothes/jeans
7,All,womens-clothes,vests,https://remixshop.com/bg/womens-clothes/vests
8,All,womens-clothes,cardigans,https://remixshop.com/bg/womens-clothes/cardigans
9,All,womens-clothes,leggings,https://remixshop.com/bg/womens-clothes/leggings
10,All,womens-clothes,leather-jackets,https://remixshop.com/bg/womens-clothes/leather-jackets
11,All,womens-clothes,suits,https://remixshop.com/bg/womens-clothes/suits
12,All,womens-clothes,shorts,https://remixshop.com/bg/womens-clothes/shorts
13,All,womens-clothes,coats,https://remixshop.com/bg/womens-clothes/coats
14,All,womens-clothes,trousers,https://remixshop.com/bg/womens-clothes/trousers
15,All,womens-clothes,skirts,https://remixshop.com/bg/womens-clothes/skirts
16,All,womens-clothes,sweaters,https://remixshop.com/bg/womens-clothes/sweaters
17,All,womens-clothes,shirts,https://remixshop.com/bg/womens-clothes/shirts
18,All,womens-clothes,dresses,https://remixshop.com/bg/womens-clothes/dresses
19,All,womens-clothes,blazers,https://remixshop.com/bg/womens-clothes/blazers
20,All,womens-clothes,sports-clothing,https://remixshop.com/bg/womens-clothes/sports-clothing
21,All,womens-clothes,sweatshirts,https://remixshop.com/bg/womens-clothes/sweatshirts
22,All,womens-clothes,t-shirts,https://remixshop.com/bg/womens-clothes/t-shirts
23,All,womens-clothes,tunics,https://remixshop.com/bg/womens-clothes/tunics
24,All,womens-clothes,socks-and-tights,https://remixshop.com/bg/womens-clothes/socks-and-tights
25,All,womens-clothes,jackets,https://remixshop.com/bg/womens-clothes/jackets
26,All,mens-clothes,sweatpants,https://remixshop.com/bg/mens-clothes/sweatpants
27,All,mens-clothes,swimwear,https://remixshop.com/bg/mens-clothes/swimwear
28,All,mens-clothes,underwear,https://remixshop.com/bg/mens-clothes/underwear
29,All,mens-clothes,tops,https://remixshop.com/bg/mens-clothes/tops
30,All,mens-clothes,jumpsuits,https://remixshop.com/bg/mens-clothes/jumpsuits
31,All,mens-clothes,jeans,https://remixshop.com/bg/mens-clothes/jeans
32,All,mens-clothes,vests,https://remixshop.com/bg/mens-clothes/vests
33,All,mens-clothes,cardigans,https://remixshop.com/bg/mens-clothes/cardigans
34,All,mens-clothes,leggings,https://remixshop.com/bg/mens-clothes/leggings
35,All,mens-clothes,leather-jackets,https://remixshop.com/bg/mens-clothes/leather-jackets
36,All,mens-clothes,suits,https://remixshop.com/bg/mens-clothes/suits
37,All,mens-clothes,shorts,https://remixshop.com/bg/mens-clothes/shorts
38,All,mens-clothes,coats,https://remixshop.com/bg/mens-clothes/coats
39,All,mens-clothes,trousers,https://remixshop.com/bg/mens-clothes/trousers
40,All,mens-clothes,sweaters,https://remixshop.com/bg/mens-clothes/sweaters
41,All,mens-clothes,shirts,https://remixshop.com/bg/mens-clothes/shirts
42,All,mens-clothes,blazers,https://remixshop.com/bg/mens-clothes/blazers
43,All,mens-clothes,sports-clothing,https://remixshop.com/bg/mens-clothes/sports-clothing
44,All,mens-clothes,sweatshirts,https://remixshop.com/bg/mens-clothes/sweatshirts
