,product,link
0,ASDA Greek Style Yogurt,https://groceries.asda.com/product/25611979
1,ASDA Greek Style Fat Free Yogurt,https://groceries.asda.com/product/910000461906
2,Wildlife Variety Yogurt Choobs,https://groceries.asda.com/product/1000078555663
3,Munch Bunch Double Up Strawberry & Vanilla Yogurts,https://groceries.asda.com/product/910000446045
4,Muller Corner Vanilla Yogurt with Chocolate Balls,https://groceries.asda.com/product/1000120228362
5,ASDA 6 Low Fat Red Fruit Yogurts,https://groceries.asda.com/product/910002962908
6,Muller Corner Strawberry Yogurt,https://groceries.asda.com/product/1000120228322
7,ASDA Greek Style Yogurt,https://groceries.asda.com/product/910000773349
8,Muller Corner Banana Yogurt with Chocolate Flakes,https://groceries.asda.com/product/1000120228335
9,Muller Light Fat Free Toffee Yogurt,https://groceries.asda.com/product/1000116808315
10,Petits Filous Raspberry & Strawberry Yogurt,https://groceries.asda.com/product/910001458097
11,Muller Corner Toffee Yogurt with Chocolate Hoops,https://groceries.asda.com/product/1000120228313
12,Muller Corner Strawberry Yogurt with White Chocolate Shortcake Balls,https://groceries.asda.com/product/1000120228351
13,Muller Light Fat Free Strawberry Yogurt,https://groceries.asda.com/product/1000116808369
14,Muller Corner Vanilla Chocolate Balls & Banana Chocolate Flakes Yogurt,https://groceries.asda.com/product/1000120228326
15,Muller Light Fat Free Banana and Custard Yogurt,https://groceries.asda.com/product/1000116808339
16,Petits Filous Apricot & Strawberry Yogurt,https://groceries.asda.com/product/910001458398
17,"Petits Filous Apricot, Strawberry & Raspberry Yogurt",https://groceries.asda.com/product/910001458433
18,Frubes Strawberry Flavour Yogurt,https://groceries.asda.com/product/1000078555632
19,Munch Bunch Squashums Raspberry Yogurt,https://groceries.asda.com/product/78035003
20,"Frubes Strawberry, Red Berry and Peach Flavour Yogurt",https://groceries.asda.com/product/1000078555677
21,Muller Rice Strawberry Low Fat Dessert,https://groceries.asda.com/product/910001390057
22,Activia Strawberry Yogurts,https://groceries.asda.com/product/1000106846552
23,Activia Rhubarb Yogurts,https://groceries.asda.com/product/1000106846731
24,ASDA Smart Price Low Fat Natural Yogurt,https://groceries.asda.com/product/31061795
25,ASDA Extra Special Lemon Yogurt,https://groceries.asda.com/product/910001008981
26,ASDA Extra Special Strawberry Yogurt,https://groceries.asda.com/product/910001009596
27,Activia Fat Free Peach Yogurts,https://groceries.asda.com/product/1000106846815
28,Lancashire Farm Natural Yogurt,https://groceries.asda.com/product/1000000473618
29,"Onken Mango, Papaya & Passion Fruit Yogurt",https://groceries.asda.com/product/910000470832
30,ASDA Smart Price Fruit Fromage Frais,https://groceries.asda.com/product/1000113150686
31,ASDA Greek Style Yogurt with Honey,https://groceries.asda.com/product/910000461974
32,ASDA Strawberry Fromage Frais Yogurt Pouches,https://groceries.asda.com/product/910003084417
